DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,HIST_NDEV,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_add,CM_api,CM_build,CM_fix,CM_gradle,CM_review,CM_test,CM_toolingcommons,CM_use,CM_version
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,11,0.8877938692252736,157,230,0,0,0.0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.48,3,7,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.656123038046379,4,299,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,111,0,0,0.0,1,0,0,0,0,0,0.0,0.7223456725063581,0.0,0.0,0.0,0.0,0.6915321607932181,0.0,0.0,0.0
1,3,0.653061224489796,2,19,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,1,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,2,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0.5,4,4,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0.0,26,0,0,0,0.0,1,0,0,0,0,0,0.5214149746425905,0.0,0.6343673786560126,0.0,0.0,0.0,0.5707052243633008,0.0,0.0,0.0
1,1,0.0,5,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.48979591836734704,3,4,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6981841878466201,0.0,0.0,0.0,0.7159181795714895,0.0
1,1,0.0,0,6,0,0,0.0,1,0,0,0,1,0,0.0,0.535680871470015,0.0,0.0,0.514609938799198,0.0,0.0,0.0,0.0,0.669494297832484
2,6,0.8304872969596002,48,1,0,1,0.0,1,0,0,0,0,0,0.38012312869951825,0.0,0.924935893469212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.48,33,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.565,14,6,0,0,0.0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.69287109375,108,20,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,0.799042285528772,205,17,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.1767578125,61,67,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.3052808239075739,0.30207195318446944,0.0,0.9030814767525867,0.0,0.0,0.0
3,12,0.8312353331292726,7,785,0,0,0.0,1,0,0,0,0,0,0.0,0.5907481112750761,0.0,0.5735397125003963,0.5675111163756116,0.0,0.0,0.0,0.0,0.0
1,4,0.72,5,5,0,1,0.0,1,0,0,0,1,0,0.0,0.7198233530140532,0.3829942355869415,0.0,0.3457546007049557,0.0,0.0,0.0,0.3545368236977861,0.2998785632492283
1,3,0.5083277127554057,147,208,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.6216425619834711,31,57,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,6,0,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.7554461813240296,0.0,0.0,0.0,0.0,0.6552107043714573
1,1,0.0,25,21,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5786542928721122,0.5581924118133491,0.594626303433234,0.0,0.0
2,18,0.8857198226234853,189,324,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6974162325436088,0.0,0.716666309089997,0.0,0.0
3,23,0.8199720844101105,41,228,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6974162325436088,0.0,0.716666309089997,0.0,0.0
0,1,0.0,6,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.6428571428571428,14,14,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,4,0.5922067901234567,31,41,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.8279580433290854,45,56,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6981841878466201,0.0,0.0,0.0,0.7159181795714895,0.0
1,3,0.591715976331361,13,13,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,2,0,0,0,0.0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.6666666666666667,3,3,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,17,16,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635074723097361,0.6457989932844411
1,1,0.0,10,18,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6981841878466201,0.0,0.0,0.0,0.7159181795714895,0.0
1,1,0.0,2,2,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543211292971133,0.0,0.0,0.6565056236590269
1,1,0.0,8,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,0.9135020408163266,312,38,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.14579881656804727,15,50,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635074723097361,0.6457989932844411
1,4,0.75,4,4,0,0,0.0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
